"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.320366125E0,-4.959187317E0,-2.320474548E0,7.187004547E0,9.034997251E0
1.330403125E0,-5.313051453E0,-2.408641205E0,7.409292297E0,9.430147429E0
1.340441125E0,-6.014941864E0,-2.807262268E0,6.593788147E0,9.356189887E0
1.350479125E0,-6.063441010E0,-3.239712982E0,5.434149628E0,8.763049655E0
1.360516125E0,-5.903573456E0,-4.023782501E0,4.882995758E0,8.653707456E0
1.370554083E0,-5.285808105E0,-4.616998901E0,4.204007721E0,8.181083492E0
1.380591083E0,-3.677253113E0,-4.050576782E0,4.109404449E0,6.842263343E0
1.390629083E0,-2.465223541E0,-3.080893250E0,4.469405823E0,5.961947562E0
1.400667083E0,-3.724405060E0,-2.697690125E0,4.523593140E0,6.450706934E0
1.410704083E0,-2.959795074E0,-1.565594330E0,4.980592804E0,6.001481248E0
1.420742083E0,-3.686384125E0,-1.844614105E0,4.683460693E0,6.239137214E0
1.430780083E0,-4.564607849E0,-2.794089661E0,3.736529846E0,6.527192133E0
1.440817083E0,-5.857020264E0,-3.705843658E0,3.896098022E0,7.950946069E0
1.450855083E0,-7.105873260E0,-4.899611206E0,4.346212006E0,9.663807922E0
1.460893083E0,-7.415279846E0,-5.838907928E0,5.637726288E0,1.099377909E1
1.470930083E0,-7.673343201E0,-6.120921478E0,8.020321655E0,1.267562366E1
1.480968083E0,-7.903863831E0,-5.240901489E0,9.729766846E0,1.358699653E1
1.491005083E0,-8.589737549E0,-5.635930023E0,9.531728668E0,1.401431946E1
1.501043083E0,-9.364975433E0,-4.994064789E0,9.235794067E0,1.406923381E1
1.511081083E0,-9.871072998E0,-5.873036957E0,9.022487640E0,1.460602370E1
1.521118083E0,-1.041713745E1,-7.033573608E0,7.590715027E0,1.468355764E1
1.531156083E0,-1.049198181E1,-7.999664612E0,7.180867310E0,1.502135718E1
1.541193083E0,-9.457932129E0,-7.644153900E0,7.140002289E0,1.410195737E1
1.551231083E0,-8.082891541E0,-6.652017059E0,6.889423370E0,1.253182433E1
1.561269083E0,-6.944808197E0,-5.582940216E0,7.382348328E0,1.157145839E1
1.571306083E0,-6.736740875E0,-5.381159821E0,7.646099854E0,1.152403582E1
1.581344083E0,-7.704927521E0,-6.446195068E0,8.003406830E0,1.284421503E1
1.591382083E0,-8.718769226E0,-7.260202332E0,8.371940460E0,1.410024332E1
1.601419083E0,-9.313033447E0,-7.346423035E0,8.349337463E0,1.450565267E1
1.611457083E0,-9.474397888E0,-7.593409424E0,8.410410461E0,1.477020941E1
1.621494083E0,-9.178762665E0,-7.458539886E0,8.068820801E0,1.431731017E1
1.631532083E0,-8.389603729E0,-6.782845001E0,7.429799652E0,1.309940304E1
1.641570083E0,-7.486681366E0,-6.264323273E0,6.738986206E0,1.186195932E1
1.651607083E0,-6.719077606E0,-5.976022797E0,5.705684967E0,1.064958653E1
1.661645083E0,-6.299799500E0,-6.032156067E0,4.687352600E0,9.901800591E0
1.671683083E0,-5.995182953E0,-5.939798126E0,3.985911255E0,9.333322503E0
1.681720083E0,-4.853357391E0,-5.340294800E0,4.002826080E0,8.252056904E0
1.691758083E0,-5.098098450E0,-6.237828369E0,4.560566254E0,9.257422704E0
1.701796083E0,-6.035449219E0,-7.479196930E0,5.266647949E0,1.095913384E1
1.711833083E0,-6.505771179E0,-8.191116486E0,6.276148682E0,1.219874953E1
1.721871083E0,-6.752009125E0,-8.566535797E0,7.489974518E0,1.323158649E1
1.731908083E0,-6.376889191E0,-8.249644775E0,8.206384735E0,1.326899036E1
1.741946083E0,-5.520370331E0,-7.810757446E0,8.622369690E0,1.287740966E1
1.751984083E0,-4.893324280E0,-7.423961792E0,8.547375641E0,1.233359078E1
1.762021083E0,-4.475393372E0,-7.117249603E0,7.757917328E0,1.143982819E1
1.772059083E0,-4.147126007E0,-6.900350647E0,7.053482208E0,1.070350898E1
1.782097083E0,-4.014950867E0,-6.820267181E0,6.509962463E0,1.024770639E1
1.792134083E0,-3.642974396E0,-6.731950836E0,5.861660614E0,9.641031566E0
1.802172083E0,-3.314856720E0,-6.629563751E0,5.321733398E0,9.124704761E0
1.812209083E0,-3.165467377E0,-6.642436981E0,4.969964905E0,8.879341412E0
1.822247083E0,-2.206112366E0,-6.440357208E0,5.409600677E0,8.695338535E0
1.832285083E0,-1.523681488E0,-6.319259033E0,5.794151001E0,8.707860003E0
1.842322083E0,-7.045848083E-1,-6.104904785E0,6.566245422E0,8.993435447E0
1.852360083E0,-2.338137817E-1,-5.778733063E0,7.683971100E0,9.617267624E0
1.862398083E0,-7.006929016E-1,-5.816304932E0,8.021070099E0,9.932670292E0
1.872435083E0,-1.746418304E0,-6.313271484E0,8.070617065E0,1.039433661E1
1.882473083E0,-2.978805542E0,-6.931036835E0,8.422684937E0,1.130726207E1
1.892510083E0,-4.183350677E0,-7.440128174E0,9.007518768E0,1.240932410E1
1.902548083E0,-4.954097900E0,-7.716154175E0,9.234297180E0,1.301362231E1
1.912586083E0,-5.399421844E0,-7.900271301E0,9.531129913E0,1.350594241E1
1.922623083E0,-5.030588837E0,-7.287146301E0,9.481882324E0,1.297364319E1
1.932661083E0,-3.518732758E0,-6.784940643E0,8.945847015E0,1.176626868E1
1.942699083E0,-3.350332947E0,-6.801556091E0,8.509953461E0,1.139759641E1
1.952736083E0,-2.954705658E0,-6.440357208E0,7.750283203E0,1.050120832E1
1.962774083E0,-2.353855133E0,-5.959557037E0,7.125033417E0,9.582434725E0
1.972811083E0,-2.165247345E0,-5.602848816E0,6.478827209E0,8.834897449E0
1.982849083E0,-2.622546387E0,-5.763464813E0,5.934858398E0,8.678584010E0
1.992887083E0,-4.737947388E0,-6.143823853E0,1.191671906E0,7.849509469E0
2.002924083E0,-4.196074219E0,-5.485343170E0,1.161883850E0,7.003285131E0
2.012962083E0,-4.340074768E0,-5.177583160E0,2.525847473E0,7.212733312E0
2.023000083E0,-3.650159454E0,-4.450694733E0,3.867058411E0,6.934442184E0
2.033037083E0,-2.636168060E0,-3.506757660E0,7.905809784E0,9.041491009E0
2.043075083E0,-1.838027802E0,-5.129233704E0,1.026954437E1,1.162544305E1
2.053112083E0,-2.646047516E0,-7.226372681E0,7.012317810E0,1.041127421E1
2.063150083E0,-2.919079742E0,-8.029452667E0,5.458249512E0,1.013832454E1
2.073188083E0,-3.182980957E0,-7.594606934E0,4.126618652E0,9.210776501E0
2.083225083E0,-3.423830109E0,-6.072422333E0,5.758974152E0,9.042273435E0
