"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.233504583E0,-3.814817047E0,5.804928589E-1,9.707463226E0,1.044627414E1
2.243464583E0,-3.774999847E0,1.134640503E-1,9.947713623E0,1.064051241E1
2.253424583E0,-4.004622345E0,-3.993695068E-1,9.915680237E0,1.070127145E1
2.263383583E0,-4.480482788E0,-7.171586609E-1,9.721084900E0,1.072793243E1
2.273343583E0,-4.723876648E0,-6.391708374E-1,9.400451660E0,1.054002094E1
2.283303584E0,-4.764292603E0,-3.652404785E-1,9.245523834E0,1.040728570E1
2.293262583E0,-4.813390503E0,-6.182144165E-2,9.148226166E0,1.033743643E1
2.303222583E0,-4.797523499E0,2.329156494E-1,8.982520752E0,1.018607680E1
2.313182583E0,-4.811145172E0,4.155358887E-1,8.994346161E0,1.020872425E1
2.323142583E0,-4.952151947E0,2.526745605E-1,9.502090302E0,1.071808628E1
2.333101583E0,-5.200335846E0,-3.137475586E-1,1.003602997E1,1.130768889E1
2.343061583E0,-5.386548615E0,-9.750723267E-1,1.029289581E1,1.165801768E1
2.353021584E0,-5.445675659E0,-1.423988800E0,1.041968216E1,1.184284188E1
2.362980583E0,-5.441484375E0,-1.445843353E0,1.057236465E1,1.197810960E1
2.372940583E0,-5.587430878E0,-1.166673889E0,1.078701828E1,1.220410895E1
2.382900583E0,-5.989943848E0,-9.982740784E-1,1.082069824E1,1.240820248E1
2.392860583E0,-6.442602539E0,-9.265731812E-1,1.068702621E1,1.251312090E1
2.402819583E0,-6.610852661E0,-8.000862122E-1,1.038869659E1,1.233971344E1
2.412779583E0,-6.547234955E0,-7.328759766E-1,1.005803421E1,1.202362029E1
2.422739583E0,-6.375991058E0,-8.020321655E-1,9.724827118E0,1.165627642E1
2.432698583E0,-6.136638794E0,-9.771679688E-1,9.407187653E0,1.127423489E1
2.442658583E0,-5.774990845E0,-1.100661163E0,9.137598267E0,1.086543494E1
2.452618583E0,-5.291047211E0,-1.059496765E0,8.969048767E0,1.046716532E1
2.462578584E0,-4.857548676E0,-8.906478882E-1,8.967102814E0,1.023708775E1
2.472537583E0,-4.624782715E0,-7.533833313E-1,9.023535461E0,1.016761495E1
2.482497583E0,-4.720882874E0,-6.830296326E-1,9.063652039E0,1.024221914E1
2.492457583E0,-4.924609222E0,-7.623646545E-1,9.086704102E0,1.036345344E1
2.502416583E0,-5.198689270E0,-9.095086670E-1,9.070388031E0,1.049407048E1
2.512376583E0,-5.407804413E0,-1.024768982E0,9.050030365E0,1.059233448E1
2.522336583E0,-5.369035034E0,-1.115031281E0,9.103319550E0,1.062733545E1
2.532296584E0,-5.140759735E0,-1.238374786E0,9.157955933E0,1.057492977E1
2.542255583E0,-4.817881165E0,-1.338067474E0,9.159303131E0,1.043528808E1
2.552215583E0,-4.470303955E0,-1.307081909E0,9.250014496E0,1.035639169E1
2.562175583E0,-4.241280212E0,-1.240320740E0,9.352251892E0,1.034366805E1
2.572134583E0,-4.308191071E0,-1.195863190E0,9.447154541E0,1.045176196E1
2.582094583E0,-4.438270569E0,-1.140178986E0,9.504934387E0,1.055187336E1
2.592054583E0,-4.476740570E0,-1.159488831E0,9.621990967E0,1.067559510E1
2.602014583E0,-4.616100769E0,-1.201102295E0,9.640402679E0,1.075585407E1
2.611973583E0,-4.614753571E0,-1.161434784E0,9.535171509E0,1.065665881E1
2.621933583E0,-4.494553528E0,-1.032852173E0,9.388177185E0,1.045971634E1
2.631893583E0,-4.267775116E0,-8.842112732E-1,9.158554688E0,1.014272439E1
2.641852584E0,-3.986360321E0,-7.729925537E-1,9.023685150E0,9.895225100E0
2.651812583E0,-3.821403351E0,-6.737489319E-1,9.059161377E0,9.855225317E0
2.661772583E0,-3.720962219E0,-7.083270264E-1,9.215137024E0,9.963234283E0
2.671732583E0,-3.782184906E0,-7.999365234E-1,9.486522675E0,1.024397060E1
2.681691583E0,-3.873045959E0,-8.816665649E-1,9.783056030E0,1.055869340E1
2.691651583E0,-3.898792419E0,-9.710307312E-1,1.006521927E1,1.083753302E1
2.701611583E0,-3.866908722E0,-1.056802368E0,1.023676254E1,1.099368554E1
2.711570584E0,-3.783532104E0,-1.074615326E0,1.033735336E1,1.106032494E1
2.721530583E0,-3.502716064E0,-1.032852173E0,1.026894562E1,1.089894708E1
2.731490583E0,-3.120860138E0,-8.945397949E-1,1.009021729E1,1.059964407E1
2.741450583E0,-2.747237091E0,-7.092251587E-1,9.827513580E0,1.022889706E1
2.751409583E0,-2.415227509E0,-4.984634399E-1,9.606872406E0,9.918356071E0
2.761369583E0,-2.091899872E0,-3.131488037E-1,9.523196411E0,9.755274324E0
2.771329583E0,-1.852248230E0,-2.109114075E-1,9.495054932E0,9.676330672E0
2.781288583E0,-1.809736633E0,-1.315763855E-1,9.576635284E0,9.747020180E0
2.791248583E0,-2.073488159E0,4.206253052E-2,9.642198944E0,9.862713769E0
2.801208583E0,-2.400558014E0,4.331991577E-1,9.541308746E0,9.848193382E0
2.811168583E0,-2.571502533E0,5.219645691E-1,9.509125671E0,9.864509279E0
2.821127584E0,-2.636617126E0,2.863545227E-1,9.271419983E0,9.643286643E0
2.831087583E0,-2.500250702E0,1.034349060E-1,9.004674683E0,9.345914535E0
2.841047583E0,-2.161355438E0,6.466552734E-2,8.853489075E0,9.113720851E0
2.851006583E0,-1.732197876E0,1.306782532E-1,8.773854675E0,8.944166375E0
2.860966583E0,-1.242266693E0,3.194357300E-1,8.771459656E0,8.864748740E0
2.870926583E0,-8.385562134E-1,5.057981873E-1,8.839268646E0,8.893350242E0
2.880886583E0,-6.978488159E-1,5.596861267E-1,8.875493317E0,8.920460927E0
2.890845584E0,-8.885522461E-1,4.584965515E-1,8.904083862E0,8.960047634E0
2.900805583E0,-1.266516266E0,2.956352234E-1,8.907526703E0,9.001971762E0
2.910765583E0,-1.643881531E0,1.868115234E-1,8.980724487E0,9.131848518E0
2.920724583E0,-2.026934967E0,8.906478882E-2,9.095535736E0,9.319075503E0
2.930684583E0,-2.237247620E0,-4.505630493E-2,9.099577332E0,9.370678449E0
2.940644583E0,-2.336042175E0,-1.562750244E-1,9.065298615E0,9.362753543E0
2.950604583E0,-2.236798553E0,-1.740879822E-1,8.982221375E0,9.258178828E0
2.960563583E0,-2.112257538E0,-1.423539734E-1,8.885672150E0,9.134389203E0
2.970523583E0,-2.085014191E0,-1.700463867E-1,8.831035767E0,9.075427960E0
2.980483583E0,-2.120490417E0,-2.201921082E-1,8.862320709E0,9.115135354E0
2.990443583E0,-2.457888794E0,-2.951861572E-1,8.993148651E0,9.327651090E0
3.000402584E0,-2.868035889E0,-2.933898926E-1,9.126820679E0,9.571340721E0
3.010362583E0,-3.101550293E0,-1.574725342E-1,9.296567688E0,9.801560212E0
3.020322583E0,-3.278182983E0,-2.888992310E-2,9.480086060E0,1.003091970E1
3.030281583E0,-3.367247772E0,4.086502075E-2,9.585616608E0,1.015992486E1
3.040241583E0,-3.281775513E0,3.577560425E-2,9.560768280E0,1.010839357E1
3.050201583E0,-3.090772705E0,-1.496887207E-4,9.425150299E0,9.918988562E0
3.060161583E0,-2.781815186E0,-3.847000122E-2,9.248068542E0,9.657471068E0
3.070120584E0,-2.404150543E0,-8.083190918E-3,9.115294647E0,9.427014463E0
3.080080583E0,-2.087109833E0,3.353027344E-2,9.049730988E0,9.287345298E0
3.090040583E0,-1.996997223E0,4.625381470E-2,9.120833130E0,9.337008852E0
3.099999583E0,-2.041305084E0,2.679428101E-2,9.251062317E0,9.473637019E0
3.109959583E0,-2.052980804E0,7.484436035E-3,9.374555511E0,9.596722213E0
3.119919583E0,-1.998943176E0,-3.218307495E-2,9.438771973E0,9.648172155E0
3.129879583E0,-1.819167023E0,-6.436614990E-2,9.455836487E0,9.629452493E0
3.139838708E0,-1.576671295E0,-1.634600830E-1,9.368567963E0,9.501719699E0
3.149798709E0,-1.345252533E0,-2.546205139E-1,9.295519867E0,9.395808937E0
3.159758708E0,-1.082099762E0,-3.411405945E-1,9.280401306E0,9.349500800E0
3.169717708E0,-8.684939575E-1,-4.590953064E-1,9.299860840E0,9.351602103E0
3.179677708E0,-8.265811157E-1,-5.568420410E-1,9.333690491E0,9.386750640E0
3.189637708E0,-8.419990540E-1,-5.448669434E-1,9.461075592E0,9.514083968E0
3.199597708E0,-9.656419373E-1,-4.474195862E-1,9.560169525E0,9.619225020E0
3.209556708E0,-1.140328674E0,-1.930984497E-1,9.585317230E0,9.654840387E0
3.219516709E0,-1.337019653E0,7.529342651E-2,9.633067932E0,9.725702465E0
3.229476708E0,-1.475182343E0,2.074685669E-1,9.643995209E0,9.758373314E0
