Times (us),interval (us),strain (raw),sensorValue0 (raw)
7441888,12500,2765920,517
7454388,12500,2766131,517
7466888,12500,2765886,518
7479388,12500,2765687,518
7491888,12500,2765418,518
7504388,12500,2765317,517
7516888,12500,2765551,517
7529388,12500,2765850,517
7541888,12500,2765847,517
7554392,12504,2765572,517
7566892,12500,2765471,517
7579392,12500,2765393,518
7591892,12500,2765316,517
7604392,12500,2765176,517
7616896,12504,2765338,517
7629396,12500,2765721,517
7641900,12504,2765850,517
7654408,12508,2765687,517
7666908,12500,2765531,517
7679408,12500,2765506,517
7691912,12504,2765264,517
7704416,12504,2765307,517
7716916,12500,2765406,517
7729416,12500,2765718,516
7741920,12504,2765775,516
7754420,12500,2765719,516
7766924,12504,2765567,516
7779424,12500,2765465,517
7791928,12504,2765492,516
7804428,12500,2765461,517
7816928,12500,2765359,517
7829428,12500,2765489,517
7841928,12500,2765444,517
7854428,12500,2765465,517
7866932,12504,2765394,517
7879436,12504,2765340,517
7891936,12500,2765303,518
7904436,12500,2765369,518
7916936,12500,2765310,517
7929436,12500,2765320,517
7941936,12500,2765439,517
7954436,12500,2765301,517
7966936,12500,2765110,517
7979440,12504,2765093,517
7991940,12500,2765007,517
8004444,12504,2765125,517
8016948,12504,2765714,517
8029448,12500,2765777,518
8041948,12500,2765638,518
8054448,12500,2765503,517
8066948,12500,2765139,517
8079452,12504,2764996,518
8091952,12500,2765080,518
8104452,12500,2765221,517
8116956,12504,2765422,517
8129456,12500,2765818,518
8141956,12500,2765833,518
8154456,12500,2765617,518
8166956,12500,2765332,517
8179460,12504,2765267,517
8191960,12500,2765527,517
8204460,12500,2765915,517
8216964,12504,2766263,517
8229464,12500,2766424,517
8241964,12500,2765878,517
8254468,12504,2765595,517
8266972,12504,2765704,520
8279472,12500,2766217,522
8291972,12500,2766594,522
8304472,12500,2767061,522
8316972,12500,2767279,522
8329472,12500,2767082,522
8341972,12500,2766644,522
8354472,12500,2766217,522
8366972,12500,2766485,522
8379472,12500,2767019,522
8391972,12500,2767385,522
8404472,12500,2767469,522
8416972,12500,2767465,522
8429472,12500,2767155,522
8441972,12500,2766760,522
8454472,12500,2766571,521
8466972,12500,2767223,521
8479476,12504,2767444,521
8491980,12504,2767554,521
8504480,12500,2767414,520
8516984,12504,2767009,519
8529488,12504,2766768,520
8541988,12500,2766530,520
8554488,12500,2766719,520
8566988,12500,2767306,519
8579488,12500,2767300,519
8591992,12504,2766993,519
8604492,12500,2766941,518
8616992,12500,2766936,518
8629492,12500,2766780,518
8641996,12504,2766962,518
8654496,12500,2767297,518
8667000,12504,2767631,518
8679504,12504,2767300,518
8692008,12504,2766723,518
8704508,12500,2766526,517
8717012,12504,2766301,517
8729512,12500,2766610,517
8742012,12500,2767100,518
8754512,12500,2767443,518
8767012,12500,2767676,518
8779512,12500,2767569,518
8792012,12500,2767116,518
8804512,12500,2766239,518
8817012,12500,2765930,518
8829516,12504,2766226,518
8842020,12504,2766975,518
8854520,12500,2767463,518
8867020,12500,2767314,518
8879524,12504,2766916,518
8892024,12500,2766476,517
8904528,12504,2765971,517
8917028,12500,2766066,517
8929528,12500,2766796,517
8942028,12500,2767055,517
8954528,12500,2767094,517
8967028,12500,2766875,517
8979532,12504,2766777,517
8992032,12500,2766595,517
9004532,12500,2766407,517
9017032,12500,2766227,517
9029536,12504,2766583,517
9042036,12500,2766853,517
9054536,12500,2766904,517
9067036,12500,2766940,517
9079536,12500,2766679,517
9092036,12500,2766245,518
9104536,12500,2765926,517
9117036,12500,2765956,517
9129536,12500,2766118,517
9142036,12500,2766481,517
9154536,12500,2766623,518
9167036,12500,2766571,518
9179536,12500,2766211,518
9192036,12500,2766147,518
9204540,12504,2766246,517
9217040,12500,2766313,517
9229540,12500,2766662,517
9242040,12500,2766868,518
9254540,12500,2766580,517
9267040,12500,2765985,517
