Times (us),interval (us),strain (raw),sensorValue0 (raw)
7866944,12504,2762640,518
7879448,12504,2762778,518
7891948,12500,2763053,518
7904452,12504,2762880,518
7916956,12504,2762824,518
7929456,12500,2762725,518
7941960,12504,2762722,518
7954460,12500,2762806,517
7966960,12500,2762757,519
7979460,12500,2762774,518
7991960,12500,2763077,514
8004460,12500,2763323,501
8016960,12500,2763379,502
8029460,12500,2763291,502
8041960,12500,2763388,522
8054464,12504,2763704,522
8066964,12500,2763308,522
8079464,12500,2762920,523
8091964,12500,2762725,523
8104464,12500,2762739,523
8116964,12500,2762928,522
8129464,12500,2762757,523
8141964,12500,2762502,522
8154464,12500,2762611,522
8166968,12504,2762716,521
8179472,12504,2762784,521
8191972,12500,2762958,520
8204472,12500,2762714,520
8216972,12500,2762748,520
8229472,12500,2762901,520
8241972,12500,2762843,521
8254472,12500,2762755,521
8266976,12504,2762746,519
8279476,12500,2762832,520
8291976,12500,2762947,520
8304476,12500,2762738,520
8316976,12500,2762511,520
8329476,12500,2762790,520
8341980,12504,2763014,519
8354480,12500,2762792,521
8366980,12500,2762719,521
8379480,12500,2762617,520
8391980,12500,2762682,520
8404484,12504,2763091,514
8416984,12500,2763115,521
8429484,12500,2762890,519
8441988,12504,2762972,521
8454488,12500,2762948,512
8466988,12500,2762517,520
8479488,12500,2763025,520
8491988,12500,2763506,520
8504488,12500,2763168,520
8516992,12504,2762552,520
8529492,12500,2762641,520
8541992,12500,2763181,521
8554492,12500,2763084,521
8566992,12500,2762367,524
8579492,12500,2763087,524
8591992,12500,2762886,525
8604496,12504,2762529,524
8617000,12504,2762531,524
8629500,12500,2762670,524
8642000,12500,2762715,523
8654500,12500,2762598,523
8667000,12500,2762468,522
8679500,12500,2762557,521
8692004,12504,2762656,520
8704504,12500,2762750,518
8717004,12500,2762908,517
8729504,12500,2762771,513
8742004,12500,2762879,516
8754504,12500,2763261,511
8767004,12500,2763181,495
8779504,12500,2763155,508
8792004,12500,2763580,513
8804504,12500,2763597,514
8817004,12500,2763224,515
8829504,12500,2763117,516
8842008,12504,2763292,516
8854508,12500,2763164,517
8867012,12504,2762914,518
8879512,12500,2762854,518
8892012,12500,2763004,517
8904512,12500,2763034,519
