Times (us),interval (us),strain (raw),sensorValue0 (raw)
6476924,12500,2762082,530
6489424,12500,2761892,530
6501928,12504,2761803,530
6514428,12500,2761572,530
6526932,12504,2761713,530
6539432,12500,2762156,530
6551932,12500,2762260,530
6564432,12500,2761803,530
6576936,12504,2761416,530
6589436,12500,2761939,530
6601940,12504,2762318,530
6614440,12500,2761977,530
6626944,12504,2761413,530
6639448,12504,2761558,530
6651948,12500,2762103,530
6664448,12500,2762186,530
6676948,12500,2761684,530
6689448,12500,2761587,530
6701952,12504,2762066,530
6714452,12500,2762219,530
6726952,12500,2761968,530
6739456,12504,2761544,530
6751956,12500,2761335,530
6764456,12500,2761560,530
6776956,12500,2761966,530
6789460,12504,2762044,530
6801960,12500,2761937,530
6814460,12500,2761913,530
6826960,12500,2762005,530
6839460,12500,2761650,530
6851964,12504,2761501,530
6864464,12500,2761491,530
6876964,12500,2761811,530
6889464,12500,2761991,530
6901964,12500,2761777,530
6914468,12504,-875989,530
6937040,22572,2762056,530
6949540,12500,2761986,530
6962040,12500,2761537,530
6974540,12500,2761580,530
6987044,12504,2762147,530
6999544,12500,2762336,530
7012044,12500,2761643,530
7024548,12504,2761097,530
7037048,12500,2761391,530
7049548,12500,2762106,530
7062052,12504,2761951,530
7074552,12500,2761419,530
7087052,12500,2761540,530
7099552,12500,2761850,530
7112056,12504,2761862,530
7124556,12500,2761800,530
7137056,12500,2761489,530
7149556,12500,2761457,530
7162056,12500,2762093,530
7174560,12504,2761990,530
7187060,12500,2761660,530
7199560,12500,2761354,530
7212060,12500,2761656,530
7224560,12500,2762001,530
7237060,12500,2761840,530
7249564,12504,2761408,530
7262064,12500,2761341,531
7274568,12504,2762029,531
7287068,12500,2761671,531
7299572,12504,2761235,531
7312072,12500,2761395,531
7324572,12500,2761755,531
7337076,12504,2762305,531
7349576,12500,2762258,531
7362076,12500,2761910,531
7374576,12500,2761781,531
7387080,12504,2761416,531
7399580,12500,2761695,532
7412080,12500,2762031,531
7424580,12500,2761917,532
7437084,12504,2761529,532
7449584,12500,2761736,532
7462084,12500,2762354,531
7474584,12500,2761956,532
7487084,12500,2761207,532
7499588,12504,2762143,532
7512088,12500,2762116,532
7524592,12504,2761155,532
7537092,12500,2760996,532
7549592,12500,2761983,532
7562092,12500,2762551,531
7574596,12504,2761902,532
7587100,12504,2761396,532
7599600,12500,2761551,532
7612104,12504,2761941,532
7624604,12500,2761744,532
7637104,12500,2761814,532
7649604,12500,2762021,532
7662104,12500,2761694,532
7674604,12500,2761357,532
7687108,12504,2761713,532
7699608,12500,2761994,532
7712108,12500,2761765,532
7724608,12500,2761538,532
7737108,12500,2761395,532
7749608,12500,2761486,532
7762108,12500,2761800,532
7774608,12500,2762026,532
7787108,12500,2761950,532
7799608,12500,2761555,531
7812108,12500,2761689,532
7824608,12500,2762005,532
7837108,12500,2761382,532
7849612,12504,2761423,532
7862116,12504,2761972,532
7874616,12500,2762086,532
7887116,12500,2761433,532
7899616,12500,2761266,532
7912116,12500,2761689,532
7924616,12500,2762035,532
7937116,12500,2761940,532
7949620,12504,2761497,532
7962120,12500,2761613,532
7974620,12500,2761820,532
7987120,12500,2761921,532
7999624,12504,2761773,532
8012124,12500,2761330,532
8024624,12500,2761547,532
8037124,12500,2762229,532
8049624,12500,2762118,532
8062124,12500,2761297,532
8074628,12504,2761764,532
8087128,12500,2762098,532
8099628,12500,2761858,532
8112136,12508,2761565,532
8124636,12500,2761543,532
8137136,12500,2761859,532
8149640,12504,2761800,532
8162140,12500,2761660,532
8174640,12500,2761974,532
8187140,12500,2761850,532
8199640,12500,2761521,532
8212140,12500,2761428,532
8224640,12500,2761888,532
8237140,12500,2762224,532
8249640,12500,2761668,532
8262144,12504,2761380,532
8274648,12504,2761593,532
8287148,12500,2762190,532
8299652,12504,2761578,532
8312156,12504,2761234,532
8324656,12500,2761536,532
8337160,12504,2761981,532
8349660,12500,2761873,532
8362160,12500,2761373,532
8374664,12504,2761198,532
8387168,12504,2761841,532
8399668,12500,2761806,532
8412168,12500,2761483,532
8424672,12504,2761505,532
8437176,12504,2761763,532
8449680,12504,2761951,532
8462180,12500,2761565,532
8474680,12500,2761333,532
8487180,12500,2761593,532
8499680,12500,2761863,532
8512180,12500,2761714,532
8524684,12504,2761617,532
8537184,12500,2761607,532
8549684,12500,2761579,532
8562188,12504,2761475,532
8574688,12500,2761459,532
8587192,12504,2761674,532
8599692,12500,2761931,532
8612192,12500,2761471,532
8624692,12500,2761697,532
8637192,12500,2762164,532
8649696,12504,2762085,532
8662200,12504,2761216,532
8674700,12500,2760723,532
8687200,12500,2761662,532
8699700,12500,2762717,532
8712204,12504,2762266,532
8724704,12500,2761081,532
8737204,12500,2761610,532
8749704,12500,2762735,532
8762204,12500,2762146,532
8774708,12504,2760793,532
8787208,12500,2760718,532
8799708,12500,2761982,532
8812208,12500,2762716,532
8824712,12504,2761940,532
8837216,12504,2760779,532
8849716,12500,2761944,532
8862216,12500,2762419,532
8874716,12500,2761771,532
8887216,12500,2761015,532
8899716,12500,2761112,532
8912216,12500,2762140,533
8924716,12500,2762561,532
8937216,12500,2761573,532
