Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
2892,439,436,433
2896,439,437,434
2900,439,433,428
2904,439,433,427
2908,439,436,432
2912,439,437,435
2916,439,434,430
2920,439,433,426
2924,439,435,431
2928,439,437,435
2932,439,435,431
2936,439,433,426
2940,439,435,431
2944,439,437,435
2948,439,436,433
2952,439,433,427
2956,439,434,428
2960,439,437,434
2964,439,436,433
2968,439,433,427
2972,439,434,428
2976,439,437,434
2980,439,436,433
2984,439,433,427
2988,439,434,428
2992,439,436,433
2996,439,437,435
3000,439,434,429
3004,439,433,427
3008,439,436,432
3012,439,437,435
3016,439,434,430
3020,439,433,427
3024,439,436,432
3028,439,437,435
3032,439,435,431
3036,439,433,427
3040,439,435,430
3044,439,437,435
3048,439,435,432
3052,439,432,427
3056,439,434,429
3060,439,437,435
3064,439,436,432
3068,439,433,427
3072,439,434,428
3076,439,437,434
3080,439,437,434
3084,439,433,428
3088,439,433,427
3092,439,436,433
3096,439,437,434
3100,439,434,429
3104,439,433,427
3108,439,436,433
3112,439,437,435
3116,439,434,430
3120,439,432,426
3124,439,435,431
3128,439,437,435
3132,439,435,431
3136,439,433,427
3140,439,435,430
3144,439,437,435
3148,439,435,431
3152,439,432,426
3156,439,434,429
3160,439,437,434
3164,439,436,433
3168,439,433,427
3172,439,434,428
3176,439,437,434
3180,439,436,434
3184,439,433,428
3188,439,433,428
3192,439,437,433
3196,439,437,434
3200,439,434,429
3204,439,433,427
3208,439,436,432
3212,439,437,435
3216,439,434,430
3220,439,433,427
3224,440,436,432
3228,439,437,435
3232,439,434,430
3236,439,433,427
3240,439,435,431
3244,439,437,434
3248,439,435,432
3252,439,433,427
3256,439,434,429
3260,439,437,434
3264,439,436,433
3268,439,433,428
3272,439,434,429
3276,439,437,434
3280,439,436,433
3284,439,433,428
3288,439,434,428
3292,439,436,433
3296,439,436,434
3300,439,433,429
3304,439,433,428
3308,439,436,432
3312,439,437,434
3316,439,434,429
3320,439,433,428
3324,439,436,432
3328,439,437,434
3332,439,435,431
3336,439,433,427
3340,439,435,430
3344,439,437,434
3348,439,435,431
3352,439,433,427
3356,439,435,430
3360,439,437,434
3364,439,435,432
3368,439,433,427
3372,439,434,429
3376,439,437,434
3380,439,437,434
3384,439,433,429
3388,439,434,428
3392,439,437,433
3396,439,437,434
3400,439,434,429
3404,439,433,428
3408,439,437,433
3412,439,437,434
3416,439,434,430
3420,439,433,427
3424,439,436,431
