"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.914345500E0,4.884342957E-1,3.721560974E0,4.929099884E0,6.195531439E0
1.924315500E0,1.775308228E-1,3.928281097E0,4.818479919E0,6.219377646E0
1.934285500E0,-1.031355286E-1,4.164340210E0,4.817282410E0,6.368561544E0
1.944254500E0,-3.453318787E-1,4.405339050E0,5.032085724E0,6.696876360E0
1.954224500E0,-5.483097839E-1,4.600982208E0,5.209616547E0,6.972071820E0
1.964194500E0,-5.287005615E-1,4.881049805E0,5.276677094E0,7.207460900E0
1.974163500E0,-6.372248840E-1,4.977449341E0,5.360652466E0,7.342864043E0
1.984133500E0,-6.918612671E-1,5.043761444E0,5.369633789E0,7.399403256E0
1.994103500E0,-7.417076111E-1,5.072801056E0,5.370531921E0,7.424692172E0
2.004072500E0,-8.566685486E-1,5.090164948E0,5.429509277E0,7.491543979E0
2.014042500E0,-9.053173828E-1,5.141508179E0,5.540877686E0,7.612885881E0
2.024012500E0,-9.047186279E-1,5.127886505E0,5.726192322E0,7.739703761E0
2.033982500E0,-9.696835327E-1,5.148693237E0,5.912854156E0,7.900074207E0
2.043951500E0,-1.025966492E0,5.194048920E0,6.075266418E0,8.058511865E0
2.053921500E0,-1.051862640E0,5.262606354E0,6.193221130E0,8.194963613E0
2.063891500E0,-1.154100037E0,5.338049469E0,6.261030121E0,8.308261984E0
2.073860500E0,-1.282083893E0,5.409900055E0,6.149362335E0,8.290079303E0
2.083830500E0,-1.315015411E0,5.506898346E0,5.978118439E0,8.233656235E0
2.093800500E0,-1.417701874E0,5.607040100E0,5.945336609E0,8.294323642E0
2.103769500E0,-1.535506897E0,5.685027924E0,6.056555328E0,8.447436674E0
2.113739500E0,-1.699715424E0,5.841602325E0,6.181246033E0,8.673012900E0
2.123709791E0,-1.926942902E0,5.933660889E0,6.230792999E0,8.817268391E0
2.133678792E0,-2.078278198E0,5.981710968E0,6.186036072E0,8.852522164E0
2.143648792E0,-2.150128784E0,6.022126923E0,6.001619568E0,8.769749363E0
2.153618792E0,-2.167193298E0,6.039490814E0,5.819747772E0,8.662657803E0
2.163587791E0,-2.104623413E0,6.049220581E0,5.717061310E0,8.585295532E0
2.173557791E0,-2.036515045E0,6.046077118E0,5.642366638E0,8.516967965E0
2.183527791E0,-2.002535706E0,6.048472137E0,5.565576324E0,8.459893869E0
2.193496792E0,-2.033970337E0,6.027066650E0,5.504653015E0,8.412120574E0
2.203466792E0,-2.067650299E0,5.930966492E0,5.417683868E0,8.294747723E0
2.213436792E0,-2.094444580E0,5.848188629E0,5.351970520E0,8.199487593E0
2.223405791E0,-2.170336761E0,5.770799561E0,5.278173981E0,8.116132687E0
2.233375791E0,-2.199975128E0,5.627098389E0,5.257067871E0,8.008800749E0
2.243345791E0,-2.186203766E0,5.509592743E0,5.320535889E0,7.965124057E0
2.253314791E0,-2.163451080E0,5.350024567E0,5.435796204E0,7.927872590E0
2.263284791E0,-2.080523529E0,5.156177673E0,5.533692627E0,7.844520409E0
2.273254791E0,-2.035167847E0,4.947361908E0,5.603597260E0,7.747167241E0
2.283223792E0,-1.998045044E0,4.719835052E0,5.687422943E0,7.656096045E0
2.293193792E0,-1.951791229E0,4.550088043E0,5.882317657E0,7.688592279E0
2.303163792E0,-1.830992432E0,4.436025238E0,6.137087860E0,7.790680368E0
2.313132791E0,-1.668430481E0,4.361629944E0,6.394103394E0,7.917830147E0
2.323102791E0,-1.606010284E0,4.345313873E0,6.545738068E0,8.019208723E0
2.333072791E0,-1.603166199E0,4.363426208E0,6.548432465E0,8.030666092E0
2.343042791E0,-1.620081024E0,4.320914612E0,6.502627716E0,7.973652414E0
