"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.009851708E0,-2.930905151E-1,-5.500461731E0,7.574099579E0,9.365253106E0
2.019888708E0,1.031355286E0,-5.253924408E0,7.614216156E0,9.308259938E0
2.029925708E0,1.956281891E0,-4.703518982E0,8.035889282E0,9.514496634E0
2.039962708E0,1.684297485E0,-4.503983917E0,8.500672760E0,9.766481788E0
2.049999708E0,2.523751831E-1,-4.572391663E0,8.863069153E0,9.976194342E0
2.060036708E0,-1.829345856E0,-5.125491486E0,8.940009155E0,1.046618044E1
2.070073708E0,-3.398682404E0,-5.460494843E0,8.352630615E0,1.054203416E1
2.080110708E0,-4.068988495E0,-5.481750641E0,7.117698669E0,9.862448571E0
2.090147708E0,-3.817511444E0,-5.266797638E0,6.008056183E0,8.854902037E0
2.100184708E0,-2.751877441E0,-4.615801392E0,5.373226318E0,7.599342933E0
2.110221708E0,-1.692230988E0,-4.378993835E0,4.512366486E0,6.511580762E0
2.120258708E0,-7.051835632E-1,-4.558021545E0,3.754642181E0,5.947283596E0
2.130295708E0,-1.451980591E-1,-5.261708221E0,3.602109375E0,6.378232344E0
2.140332708E0,-5.668711853E-1,-7.384593658E0,4.176165619E0,8.502583473E0
2.150369708E0,-1.026864624E0,-9.574689331E0,5.754633179E0,1.121806266E1
2.160406708E0,-2.399510193E-1,-1.214244965E1,9.336384888E0,1.531877093E1
2.170443708E0,2.193538513E0,-1.169488037E1,8.846304016E0,1.482696641E1
2.180479708E0,3.830384674E0,-1.231159790E1,7.212601318E0,1.477392661E1
2.190516708E0,3.083437958E0,-1.120734421E1,6.938072205E0,1.353694943E1
2.200553708E0,1.731599121E0,-9.398954773E0,6.856641541E0,1.176232628E1
2.210590708E0,2.030228119E0,-9.666149139E0,6.934180298E0,1.206810349E1
2.220627708E0,1.822460175E0,-9.205107880E0,7.458090820E0,1.198659630E1
2.230664708E0,2.008822632E0,-9.355994110E0,6.265520782E0,1.143795195E1
2.240701708E0,1.628164215E0,-9.775272217E0,5.111420746E0,1.115049271E1
2.250738708E0,1.487456818E0,-1.022119492E1,4.646188202E0,1.132574139E1
2.260775708E0,2.799029388E0,-1.021820114E1,4.449646912E0,1.149110777E1
2.270812708E0,4.460723877E0,-8.677455139E0,6.101911011E0,1.150780618E1
2.280849708E0,4.999752960E0,-6.626569977E0,7.314539337E0,1.106397058E1
2.290886708E0,3.253933411E0,-6.341712341E0,6.870861969E0,9.900209203E0
2.300923708E0,1.748513947E0,-6.122568054E0,5.745651855E0,8.576459400E0
2.310960708E0,1.388362885E0,-5.503904572E0,5.099595337E0,7.630621838E0
2.320997708E0,2.096689911E0,-5.361849976E0,4.852758636E0,7.529595615E0
2.331034708E0,3.210373993E0,-5.859115906E0,4.577481079E0,8.098708132E0
2.341071708E0,4.215384064E0,-7.604187012E0,5.167853394E0,1.011433792E1
2.351108708E0,5.757626953E0,-8.830586700E0,5.840853882E0,1.205176766E1
2.361145708E0,7.063511353E0,-8.875193939E0,7.243886261E0,1.345868301E1
2.371182708E0,5.955515442E0,-8.409961395E0,7.281757507E0,1.261822520E1
2.381219708E0,5.042713623E0,-8.503367157E0,7.275021515E0,1.227445118E1
2.391256708E0,4.068988495E0,-8.271349640E0,6.015241241E0,1.100704408E1
2.401293708E0,3.654799805E0,-7.808063049E0,4.872068481E0,9.902548232E0
2.411330708E0,3.769012299E0,-7.633975067E0,4.364923096E0,9.567422990E0
2.421367708E0,3.811374207E0,-8.412955170E0,3.885170746E0,1.001992713E1
2.431404708E0,4.012555847E0,-9.107211456E0,4.156107330E0,1.078494938E1
2.441441708E0,3.747008057E0,-8.944050751E0,3.960763550E0,1.047491103E1
